model,scenario,experiment_part,year,tas_anomaly_K
mri-esm2-0,ssp245,historical,1850,0.062370702570319736
mri-esm2-0,ssp245,historical,1851,0.08815219757235582
mri-esm2-0,ssp245,historical,1852,0.02185183539376112
mri-esm2-0,ssp245,historical,1853,-0.05234482752450731
mri-esm2-0,ssp245,historical,1854,-0.10742484603389357
mri-esm2-0,ssp245,historical,1855,0.05229115956132091
mri-esm2-0,ssp245,historical,1856,0.05421456882112352
mri-esm2-0,ssp245,historical,1857,-0.00016830762012887135
mri-esm2-0,ssp245,historical,1858,-0.022598751204668588
mri-esm2-0,ssp245,historical,1859,0.12296704837939387
mri-esm2-0,ssp245,historical,1860,-0.018572383838375117
mri-esm2-0,ssp245,historical,1861,-0.03838985722097732
mri-esm2-0,ssp245,historical,1862,-0.0721402224371559
mri-esm2-0,ssp245,historical,1863,0.015680358561326102
mri-esm2-0,ssp245,historical,1864,-0.09848907854603794
mri-esm2-0,ssp245,historical,1865,0.0184238605131668
mri-esm2-0,ssp245,historical,1866,-0.044443760599790494
mri-esm2-0,ssp245,historical,1867,-0.0671067862932091
mri-esm2-0,ssp245,historical,1868,0.01784172263540995
mri-esm2-0,ssp245,historical,1869,-0.10965291787158549
mri-esm2-0,ssp245,historical,1870,-0.07213685721603724
mri-esm2-0,ssp245,historical,1871,-0.005804531008550384
mri-esm2-0,ssp245,historical,1872,-0.15229103585846815
mri-esm2-0,ssp245,historical,1873,-0.23965385355199942
mri-esm2-0,ssp245,historical,1874,-0.1366955487397945
mri-esm2-0,ssp245,historical,1875,0.06176198175967329
mri-esm2-0,ssp245,historical,1876,-0.012388956287111341
mri-esm2-0,ssp245,historical,1877,0.0743681593163501
mri-esm2-0,ssp245,historical,1878,0.07528409186238605
mri-esm2-0,ssp245,historical,1879,-0.019772568953044356
mri-esm2-0,ssp245,historical,1880,0.0636678706218845
mri-esm2-0,ssp245,historical,1881,0.09570750536306605
mri-esm2-0,ssp245,historical,1882,0.13721207833600602
mri-esm2-0,ssp245,historical,1883,-0.02849735084976146
mri-esm2-0,ssp245,historical,1884,-0.12577007832146592
mri-esm2-0,ssp245,historical,1885,-0.22140008833315505
mri-esm2-0,ssp245,historical,1886,-0.06090071084406645
mri-esm2-0,ssp245,historical,1887,-0.08551276289807674
mri-esm2-0,ssp245,historical,1888,-0.06031652803818588
mri-esm2-0,ssp245,historical,1889,-0.0619650172880597
mri-esm2-0,ssp245,historical,1890,-0.06851204423730906
mri-esm2-0,ssp245,historical,1891,0.07280314494408913
mri-esm2-0,ssp245,historical,1892,0.061629854494185565
mri-esm2-0,ssp245,historical,1893,0.052118178636305856
mri-esm2-0,ssp245,historical,1894,0.10398676817158048
mri-esm2-0,ssp245,historical,1895,0.2332115957524934
mri-esm2-0,ssp245,historical,1896,0.2217392052455125
mri-esm2-0,ssp245,historical,1897,0.13448577662120442
mri-esm2-0,ssp245,historical,1898,0.132834676318339
mri-esm2-0,ssp245,historical,1899,0.07334310627743434
mri-esm2-0,ssp245,historical,1900,-0.06499777611315949
mri-esm2-0,ssp245,historical,1901,0.17208633965628906
mri-esm2-0,ssp245,historical,1902,0.12332845387061298
mri-esm2-0,ssp245,historical,1903,-0.1098283698467526
mri-esm2-0,ssp245,historical,1904,0.08534681657766896
mri-esm2-0,ssp245,historical,1905,0.1737999028057402
mri-esm2-0,ssp245,historical,1906,0.03987739599898532
mri-esm2-0,ssp245,historical,1907,-0.07283668728064185
mri-esm2-0,ssp245,historical,1908,0.12972110100326972
mri-esm2-0,ssp245,historical,1909,0.1758330016602372
mri-esm2-0,ssp245,historical,1910,0.19543816398066838
mri-esm2-0,ssp245,historical,1911,0.06767495137791002
mri-esm2-0,ssp245,historical,1912,0.015493622408484953
mri-esm2-0,ssp245,historical,1913,0.021628808425475654
mri-esm2-0,ssp245,historical,1914,0.026589981689028264
mri-esm2-0,ssp245,historical,1915,0.0593257694358158
mri-esm2-0,ssp245,historical,1916,-0.06669978916983155
mri-esm2-0,ssp245,historical,1917,-0.03989816783268907
mri-esm2-0,ssp245,historical,1918,0.006767750990661625
mri-esm2-0,ssp245,historical,1919,-0.044950544225969224
mri-esm2-0,ssp245,historical,1920,-0.039730768909123526
mri-esm2-0,ssp245,historical,1921,0.0978394813740806
mri-esm2-0,ssp245,historical,1922,0.19332098465071113
mri-esm2-0,ssp245,historical,1923,0.2100396964473248
mri-esm2-0,ssp245,historical,1924,0.00013042918351402477
mri-esm2-0,ssp245,historical,1925,-0.061796618083576504
mri-esm2-0,ssp245,historical,1926,0.0026422735625715177
mri-esm2-0,ssp245,historical,1927,0.14458534869999085
mri-esm2-0,ssp245,historical,1928,0.10808034584545112
mri-esm2-0,ssp245,historical,1929,0.1661523781309029
mri-esm2-0,ssp245,historical,1930,0.11035938008893709
mri-esm2-0,ssp245,historical,1931,-0.029076589073611103
mri-esm2-0,ssp245,historical,1932,0.07752650189473798
mri-esm2-0,ssp245,historical,1933,0.11265832154543887
mri-esm2-0,ssp245,historical,1934,0.07867028486606387
mri-esm2-0,ssp245,historical,1935,0.1919615542379347
mri-esm2-0,ssp245,historical,1936,0.29468842067490186
mri-esm2-0,ssp245,historical,1937,0.23967587366365706
mri-esm2-0,ssp245,historical,1938,0.3068680847692349
mri-esm2-0,ssp245,historical,1939,0.24501086932343696
mri-esm2-0,ssp245,historical,1940,0.1638220470131273
mri-esm2-0,ssp245,historical,1941,0.21754936934365787
mri-esm2-0,ssp245,historical,1942,0.1283914943510922
mri-esm2-0,ssp245,historical,1943,0.14187492040349525
mri-esm2-0,ssp245,historical,1944,0.26897340852428897
mri-esm2-0,ssp245,historical,1945,0.2056311884945785
mri-esm2-0,ssp245,historical,1946,0.3317073608863552
mri-esm2-0,ssp245,historical,1947,0.3361573568079166
mri-esm2-0,ssp245,historical,1948,0.4025994201636536
mri-esm2-0,ssp245,historical,1949,0.3773474482441088
mri-esm2-0,ssp245,historical,1950,0.37049281777808574
mri-esm2-0,ssp245,historical,1951,0.306832420891908
mri-esm2-0,ssp245,historical,1952,0.1861284423337679
mri-esm2-0,ssp245,historical,1953,0.09320257866482962
mri-esm2-0,ssp245,historical,1954,0.20410184802960885
mri-esm2-0,ssp245,historical,1955,0.3473808352915171
mri-esm2-0,ssp245,historical,1956,0.17255959791725672
mri-esm2-0,ssp245,historical,1957,0.2552481292349853
mri-esm2-0,ssp245,historical,1958,0.3211064745916019
mri-esm2-0,ssp245,historical,1959,0.256107893416754
mri-esm2-0,ssp245,historical,1960,0.25282716177770226
mri-esm2-0,ssp245,historical,1961,0.13556443162570986
mri-esm2-0,ssp245,historical,1962,0.1810668988651969
mri-esm2-0,ssp245,historical,1963,0.11061158358774037
mri-esm2-0,ssp245,historical,1964,0.1165896555092445
mri-esm2-0,ssp245,historical,1965,0.07415908952589234
mri-esm2-0,ssp245,historical,1966,0.11698640068914301
mri-esm2-0,ssp245,historical,1967,0.13735484826059974
mri-esm2-0,ssp245,historical,1968,0.08281020419809693
mri-esm2-0,ssp245,historical,1969,0.04287866184029099
mri-esm2-0,ssp245,historical,1970,0.12095591048785082
mri-esm2-0,ssp245,historical,1971,0.1642133194529265
mri-esm2-0,ssp245,historical,1972,0.10374113512909844
mri-esm2-0,ssp245,historical,1973,0.10874969008301605
mri-esm2-0,ssp245,historical,1974,0.2863223385710967
mri-esm2-0,ssp245,historical,1975,0.22324071825943292
mri-esm2-0,ssp245,historical,1976,-0.00028461834932613783
mri-esm2-0,ssp245,historical,1977,0.08525268570377875
mri-esm2-0,ssp245,historical,1978,0.21760976501570894
mri-esm2-0,ssp245,historical,1979,0.1976332871716977
mri-esm2-0,ssp245,historical,1980,0.18204375883505008
mri-esm2-0,ssp245,historical,1981,0.277764608421478
mri-esm2-0,ssp245,historical,1982,0.3828874512561242
mri-esm2-0,ssp245,historical,1983,0.21078095193848867
mri-esm2-0,ssp245,historical,1984,0.11948505141657506
mri-esm2-0,ssp245,historical,1985,0.4743296638625907
mri-esm2-0,ssp245,historical,1986,0.3410152818788674
mri-esm2-0,ssp245,historical,1987,0.30213589071473734
mri-esm2-0,ssp245,historical,1988,0.376588979459882
mri-esm2-0,ssp245,historical,1989,0.2778719370474505
mri-esm2-0,ssp245,historical,1990,0.3501137660700806
mri-esm2-0,ssp245,historical,1991,0.40438773974983633
mri-esm2-0,ssp245,historical,1992,0.11259982428168769
mri-esm2-0,ssp245,historical,1993,0.2746785363426625
mri-esm2-0,ssp245,historical,1994,0.41132174601614224
mri-esm2-0,ssp245,historical,1995,0.4024858717106099
mri-esm2-0,ssp245,historical,1996,0.33380245012745036
mri-esm2-0,ssp245,historical,1997,0.4755487759624657
mri-esm2-0,ssp245,historical,1998,0.6570860315598566
mri-esm2-0,ssp245,historical,1999,0.5731364371092695
mri-esm2-0,ssp245,historical,2000,0.6897162155562455
mri-esm2-0,ssp245,historical,2001,0.7036056313552876
mri-esm2-0,ssp245,historical,2002,0.5971921219071419
mri-esm2-0,ssp245,historical,2003,0.6901806061769662
mri-esm2-0,ssp245,historical,2004,0.7657026684856874
mri-esm2-0,ssp245,historical,2005,0.9251149537049628
mri-esm2-0,ssp245,historical,2006,0.8512157549895392
mri-esm2-0,ssp245,historical,2007,0.8018409643205473
mri-esm2-0,ssp245,historical,2008,0.9008471965320837
mri-esm2-0,ssp245,historical,2009,0.7946509711483714
mri-esm2-0,ssp245,historical,2010,0.710965163219953
mri-esm2-0,ssp245,historical,2011,0.7529129705795299
mri-esm2-0,ssp245,historical,2012,0.8604528105703935
mri-esm2-0,ssp245,historical,2013,0.9066056589248319
mri-esm2-0,ssp245,historical,2014,0.9194930932095531
mri-esm2-0,ssp245,future,2015,1.1020807032905395
mri-esm2-0,ssp245,future,2016,1.16479838522406
mri-esm2-0,ssp245,future,2017,1.2132593274470196
mri-esm2-0,ssp245,future,2018,1.0108112753414957
mri-esm2-0,ssp245,future,2019,1.0255403049196161
mri-esm2-0,ssp245,future,2020,1.0871721399380476
mri-esm2-0,ssp245,future,2021,1.2530897373202947
mri-esm2-0,ssp245,future,2022,1.498682336285981
mri-esm2-0,ssp245,future,2023,1.4038385125927562
mri-esm2-0,ssp245,future,2024,1.3666630873876784
mri-esm2-0,ssp245,future,2025,1.3836259748936186
mri-esm2-0,ssp245,future,2026,1.4069689928194293
mri-esm2-0,ssp245,future,2027,1.4479192868895439
mri-esm2-0,ssp245,future,2028,1.4060373903755021
mri-esm2-0,ssp245,future,2029,1.5040025170061995
mri-esm2-0,ssp245,future,2030,1.333320009771512
mri-esm2-0,ssp245,future,2031,1.4734170194375338
mri-esm2-0,ssp245,future,2032,1.5354346244264434
mri-esm2-0,ssp245,future,2033,1.4742631552010153
mri-esm2-0,ssp245,future,2034,1.5722694426689259
mri-esm2-0,ssp245,future,2035,1.5899428678167737
mri-esm2-0,ssp245,future,2036,1.6897422662797226
mri-esm2-0,ssp245,future,2037,1.8555587893552001
mri-esm2-0,ssp245,future,2038,1.7441148568863696
mri-esm2-0,ssp245,future,2039,1.767299807551808
mri-esm2-0,ssp245,future,2040,1.6829542912624333
mri-esm2-0,ssp245,future,2041,1.6896568320719325
mri-esm2-0,ssp245,future,2042,1.7226348696041214
mri-esm2-0,ssp245,future,2043,1.7497107245002326
mri-esm2-0,ssp245,future,2044,1.826591451670538
mri-esm2-0,ssp245,future,2045,1.9731795405724029
mri-esm2-0,ssp245,future,2046,1.985849729677227
mri-esm2-0,ssp245,future,2047,1.9878173118831342
mri-esm2-0,ssp245,future,2048,2.0347674641909066
mri-esm2-0,ssp245,future,2049,2.0472657015010896
mri-esm2-0,ssp245,future,2050,2.0807132821104233
mri-esm2-0,ssp245,future,2051,2.0518357567625003
mri-esm2-0,ssp245,future,2052,2.017970624597865
mri-esm2-0,ssp245,future,2053,2.1649331142303936
mri-esm2-0,ssp245,future,2054,2.2123458987711047
mri-esm2-0,ssp245,future,2055,2.162691125516062
mri-esm2-0,ssp245,future,2056,2.2933440133539307
mri-esm2-0,ssp245,future,2057,2.2688239054044743
mri-esm2-0,ssp245,future,2058,2.2600122169276915
mri-esm2-0,ssp245,future,2059,2.3885692055840195
mri-esm2-0,ssp245,future,2060,2.3007275169310333
mri-esm2-0,ssp245,future,2061,2.268482614715083
mri-esm2-0,ssp245,future,2062,2.4795096025499106
mri-esm2-0,ssp245,future,2063,2.503290167423529
mri-esm2-0,ssp245,future,2064,2.3889138850406084
mri-esm2-0,ssp245,future,2065,2.430073933143035
mri-esm2-0,ssp245,future,2066,2.349651099122184
mri-esm2-0,ssp245,future,2067,2.4006741060319996
mri-esm2-0,ssp245,future,2068,2.3508634919150495
mri-esm2-0,ssp245,future,2069,2.3465114135833005
mri-esm2-0,ssp245,future,2070,2.446362773216663
mri-esm2-0,ssp245,future,2071,2.418298300756817
mri-esm2-0,ssp245,future,2072,2.471951845057447
mri-esm2-0,ssp245,future,2073,2.4645340865358207
mri-esm2-0,ssp245,future,2074,2.41540014675644
mri-esm2-0,ssp245,future,2075,2.478581637776415
mri-esm2-0,ssp245,future,2076,2.6118251837621074
mri-esm2-0,ssp245,future,2077,2.4773230524470478
mri-esm2-0,ssp245,future,2078,2.5489553044188824
mri-esm2-0,ssp245,future,2079,2.5697702147379573
mri-esm2-0,ssp245,future,2080,2.5677381246168807
mri-esm2-0,ssp245,future,2081,2.692920127403397
mri-esm2-0,ssp245,future,2082,2.665136322623482
mri-esm2-0,ssp245,future,2083,2.712125011849764
mri-esm2-0,ssp245,future,2084,2.71922578897329
mri-esm2-0,ssp245,future,2085,2.6955378757908193
mri-esm2-0,ssp245,future,2086,2.7162692027698654
mri-esm2-0,ssp245,future,2087,2.6612207009459325
mri-esm2-0,ssp245,future,2088,2.6572206102359246
mri-esm2-0,ssp245,future,2089,2.6688235793729973
mri-esm2-0,ssp245,future,2090,2.7031936651868023
mri-esm2-0,ssp245,future,2091,2.8557699225696638
mri-esm2-0,ssp245,future,2092,2.616487530520317
mri-esm2-0,ssp245,future,2093,2.685903538914147
mri-esm2-0,ssp245,future,2094,2.822932338740145
mri-esm2-0,ssp245,future,2095,2.5684667154538374
mri-esm2-0,ssp245,future,2096,2.6520149141775846
mri-esm2-0,ssp245,future,2097,2.80252194082027
mri-esm2-0,ssp245,future,2098,2.7081851433903807
mri-esm2-0,ssp245,future,2099,2.624408621313478
mri-esm2-0,ssp245,future,2100,2.703835781544967
