model,scenario,experiment_part,year,tas_anomaly_K
ukesm1-0-ll,ssp126,historical,1850,-0.05288982386321095
ukesm1-0-ll,ssp126,historical,1851,-0.04479966710022154
ukesm1-0-ll,ssp126,historical,1852,0.04306578065944677
ukesm1-0-ll,ssp126,historical,1853,0.10457507390032106
ukesm1-0-ll,ssp126,historical,1854,0.03140865010254856
ukesm1-0-ll,ssp126,historical,1855,-0.1037665160532697
ukesm1-0-ll,ssp126,historical,1856,0.08593843165834869
ukesm1-0-ll,ssp126,historical,1857,0.1079021266909308
ukesm1-0-ll,ssp126,historical,1858,0.08814335182091781
ukesm1-0-ll,ssp126,historical,1859,0.12041401504228588
ukesm1-0-ll,ssp126,historical,1860,0.039187612727630494
ukesm1-0-ll,ssp126,historical,1861,0.14036686616265115
ukesm1-0-ll,ssp126,historical,1862,0.06367940105553771
ukesm1-0-ll,ssp126,historical,1863,0.0867034997478413
ukesm1-0-ll,ssp126,historical,1864,0.07391652011966698
ukesm1-0-ll,ssp126,historical,1865,-0.10070764891520412
ukesm1-0-ll,ssp126,historical,1866,-0.025090581658957944
ukesm1-0-ll,ssp126,historical,1867,-0.014315174540854514
ukesm1-0-ll,ssp126,historical,1868,-0.04331210430120791
ukesm1-0-ll,ssp126,historical,1869,-0.21427624265197664
ukesm1-0-ll,ssp126,historical,1870,-0.3119035772960501
ukesm1-0-ll,ssp126,historical,1871,-0.14769021430396378
ukesm1-0-ll,ssp126,historical,1872,0.11487344409118805
ukesm1-0-ll,ssp126,historical,1873,0.15558480591045054
ukesm1-0-ll,ssp126,historical,1874,-0.043125624736035206
ukesm1-0-ll,ssp126,historical,1875,-0.07662652177253904
ukesm1-0-ll,ssp126,historical,1876,-0.048166742000603335
ukesm1-0-ll,ssp126,historical,1877,0.07981585343787856
ukesm1-0-ll,ssp126,historical,1878,0.21579971869260817
ukesm1-0-ll,ssp126,historical,1879,0.02359627742345083
ukesm1-0-ll,ssp126,historical,1880,0.030332812903566264
ukesm1-0-ll,ssp126,historical,1881,-0.036925926860305935
ukesm1-0-ll,ssp126,historical,1882,0.036794812897596785
ukesm1-0-ll,ssp126,historical,1883,0.07744914734092845
ukesm1-0-ll,ssp126,historical,1884,-0.21771293572015793
ukesm1-0-ll,ssp126,historical,1885,-0.24653206265071503
ukesm1-0-ll,ssp126,historical,1886,-0.18379762264203237
ukesm1-0-ll,ssp126,historical,1887,-0.09187083034458965
ukesm1-0-ll,ssp126,historical,1888,0.06305316027209074
ukesm1-0-ll,ssp126,historical,1889,0.027143859282830363
ukesm1-0-ll,ssp126,historical,1890,-0.017071615734096213
ukesm1-0-ll,ssp126,historical,1891,0.18490590647678573
ukesm1-0-ll,ssp126,historical,1892,0.17720233310313915
ukesm1-0-ll,ssp126,historical,1893,-0.105363147967239
ukesm1-0-ll,ssp126,historical,1894,-0.0525635296243081
ukesm1-0-ll,ssp126,historical,1895,0.011952928678908847
ukesm1-0-ll,ssp126,historical,1896,0.07871866622247126
ukesm1-0-ll,ssp126,historical,1897,-0.03291357260644645
ukesm1-0-ll,ssp126,historical,1898,0.010440801835727598
ukesm1-0-ll,ssp126,historical,1899,-0.06795210762322768
ukesm1-0-ll,ssp126,historical,1900,0.006407932709862507
ukesm1-0-ll,ssp126,historical,1901,-0.13999135762372816
ukesm1-0-ll,ssp126,historical,1902,-0.022938542277927354
ukesm1-0-ll,ssp126,historical,1903,-0.026512789937271464
ukesm1-0-ll,ssp126,historical,1904,-0.13519348238372686
ukesm1-0-ll,ssp126,historical,1905,-0.0799286943771449
ukesm1-0-ll,ssp126,historical,1906,-0.0995679949079431
ukesm1-0-ll,ssp126,historical,1907,0.06456215418074862
ukesm1-0-ll,ssp126,historical,1908,0.02518245938108521
ukesm1-0-ll,ssp126,historical,1909,-0.02464437009410858
ukesm1-0-ll,ssp126,historical,1910,-0.04942945666527976
ukesm1-0-ll,ssp126,historical,1911,-0.00750424583941367
ukesm1-0-ll,ssp126,historical,1912,-0.07356175853971081
ukesm1-0-ll,ssp126,historical,1913,-0.00171495503764163
ukesm1-0-ll,ssp126,historical,1914,0.10655213803767083
ukesm1-0-ll,ssp126,historical,1915,0.1234956757966188
ukesm1-0-ll,ssp126,historical,1916,-0.00024230863112961742
ukesm1-0-ll,ssp126,historical,1917,-0.08918900372543703
ukesm1-0-ll,ssp126,historical,1918,0.008930152926552637
ukesm1-0-ll,ssp126,historical,1919,0.12881084665667686
ukesm1-0-ll,ssp126,historical,1920,0.028305210183646068
ukesm1-0-ll,ssp126,historical,1921,-0.10861911751499065
ukesm1-0-ll,ssp126,historical,1922,-0.10213281136822161
ukesm1-0-ll,ssp126,historical,1923,-0.07083119621398737
ukesm1-0-ll,ssp126,historical,1924,0.07622542980112712
ukesm1-0-ll,ssp126,historical,1925,0.07080626850108729
ukesm1-0-ll,ssp126,historical,1926,0.043078557123749306
ukesm1-0-ll,ssp126,historical,1927,-0.09512408405072392
ukesm1-0-ll,ssp126,historical,1928,-0.02016328935059164
ukesm1-0-ll,ssp126,historical,1929,-0.026028732699501234
ukesm1-0-ll,ssp126,historical,1930,0.06777893226075093
ukesm1-0-ll,ssp126,historical,1931,-0.10224684566310316
ukesm1-0-ll,ssp126,historical,1932,-0.07711300015546385
ukesm1-0-ll,ssp126,historical,1933,-0.05612679992560743
ukesm1-0-ll,ssp126,historical,1934,-0.10861479667613594
ukesm1-0-ll,ssp126,historical,1935,-0.061595895563641534
ukesm1-0-ll,ssp126,historical,1936,0.07290232339153135
ukesm1-0-ll,ssp126,historical,1937,-0.20521837070020865
ukesm1-0-ll,ssp126,historical,1938,-0.21407023512733758
ukesm1-0-ll,ssp126,historical,1939,-0.0443142530990599
ukesm1-0-ll,ssp126,historical,1940,-0.1433082633997742
ukesm1-0-ll,ssp126,historical,1941,-0.07494876195494271
ukesm1-0-ll,ssp126,historical,1942,0.09461211617627896
ukesm1-0-ll,ssp126,historical,1943,-0.09895924869954342
ukesm1-0-ll,ssp126,historical,1944,0.032246204011016744
ukesm1-0-ll,ssp126,historical,1945,-0.11264986171767077
ukesm1-0-ll,ssp126,historical,1946,-0.05728850226347504
ukesm1-0-ll,ssp126,historical,1947,0.05481315636666295
ukesm1-0-ll,ssp126,historical,1948,0.011425580668969815
ukesm1-0-ll,ssp126,historical,1949,-0.1668104434912152
ukesm1-0-ll,ssp126,historical,1950,-0.21143854843614918
ukesm1-0-ll,ssp126,historical,1951,-0.20547743968040777
ukesm1-0-ll,ssp126,historical,1952,-0.13083276185636805
ukesm1-0-ll,ssp126,historical,1953,-0.08379800956777217
ukesm1-0-ll,ssp126,historical,1954,0.1864505071650342
ukesm1-0-ll,ssp126,historical,1955,0.019877875902295727
ukesm1-0-ll,ssp126,historical,1956,0.07313123096781737
ukesm1-0-ll,ssp126,historical,1957,0.031416803969420926
ukesm1-0-ll,ssp126,historical,1958,0.10936971309087085
ukesm1-0-ll,ssp126,historical,1959,-0.02417804953876157
ukesm1-0-ll,ssp126,historical,1960,-0.028714110046166752
ukesm1-0-ll,ssp126,historical,1961,-0.10655142890607294
ukesm1-0-ll,ssp126,historical,1962,0.052577643865390655
ukesm1-0-ll,ssp126,historical,1963,-0.17341312523166152
ukesm1-0-ll,ssp126,historical,1964,-0.4548379181518385
ukesm1-0-ll,ssp126,historical,1965,-0.26060809750708813
ukesm1-0-ll,ssp126,historical,1966,-0.1625005495382652
ukesm1-0-ll,ssp126,historical,1967,-0.32922283656722584
ukesm1-0-ll,ssp126,historical,1968,-0.46352094805337174
ukesm1-0-ll,ssp126,historical,1969,-0.3825018834605203
ukesm1-0-ll,ssp126,historical,1970,-0.25499940839898727
ukesm1-0-ll,ssp126,historical,1971,-0.33858406569493127
ukesm1-0-ll,ssp126,historical,1972,-0.3375801509965868
ukesm1-0-ll,ssp126,historical,1973,-0.34061731154247354
ukesm1-0-ll,ssp126,historical,1974,-0.3561665507616567
ukesm1-0-ll,ssp126,historical,1975,-0.22781517523077355
ukesm1-0-ll,ssp126,historical,1976,-0.19528905386999895
ukesm1-0-ll,ssp126,historical,1977,-0.23312623026544088
ukesm1-0-ll,ssp126,historical,1978,-0.13525521657459194
ukesm1-0-ll,ssp126,historical,1979,-0.21311515687165183
ukesm1-0-ll,ssp126,historical,1980,-0.261475517523877
ukesm1-0-ll,ssp126,historical,1981,-0.14088540046896014
ukesm1-0-ll,ssp126,historical,1982,-0.11225911319519355
ukesm1-0-ll,ssp126,historical,1983,-0.1026239959625741
ukesm1-0-ll,ssp126,historical,1984,-0.10810793434717425
ukesm1-0-ll,ssp126,historical,1985,-0.1804159455482477
ukesm1-0-ll,ssp126,historical,1986,-0.00425533633148234
ukesm1-0-ll,ssp126,historical,1987,-0.019675829831896863
ukesm1-0-ll,ssp126,historical,1988,-0.03725227884007154
ukesm1-0-ll,ssp126,historical,1989,0.11908629634757517
ukesm1-0-ll,ssp126,historical,1990,0.25567222722116867
ukesm1-0-ll,ssp126,historical,1991,0.07074470316780435
ukesm1-0-ll,ssp126,historical,1992,-0.1756739945519712
ukesm1-0-ll,ssp126,historical,1993,0.025617232748118113
ukesm1-0-ll,ssp126,historical,1994,0.20126973903552425
ukesm1-0-ll,ssp126,historical,1995,0.19246092640787538
ukesm1-0-ll,ssp126,historical,1996,0.32492906878860595
ukesm1-0-ll,ssp126,historical,1997,0.41549300430875746
ukesm1-0-ll,ssp126,historical,1998,0.5816579593507072
ukesm1-0-ll,ssp126,historical,1999,0.5310365971535589
ukesm1-0-ll,ssp126,historical,2000,0.6016115581046506
ukesm1-0-ll,ssp126,historical,2001,0.6237840704511086
ukesm1-0-ll,ssp126,historical,2002,0.7639796548580193
ukesm1-0-ll,ssp126,historical,2003,0.6419432715290441
ukesm1-0-ll,ssp126,historical,2004,0.6495932059906977
ukesm1-0-ll,ssp126,historical,2005,0.7044244918395179
ukesm1-0-ll,ssp126,historical,2006,0.6567822411237216
ukesm1-0-ll,ssp126,historical,2007,0.7290329670522055
ukesm1-0-ll,ssp126,historical,2008,0.809713983904544
ukesm1-0-ll,ssp126,historical,2009,0.8397285508034429
ukesm1-0-ll,ssp126,historical,2010,0.8908571520128135
ukesm1-0-ll,ssp126,historical,2011,0.9478013451388279
ukesm1-0-ll,ssp126,historical,2012,0.9066197325826124
ukesm1-0-ll,ssp126,historical,2013,0.9914005777719126
ukesm1-0-ll,ssp126,historical,2014,1.0411547339276694
ukesm1-0-ll,ssp126,future,2015,1.101558563480296
ukesm1-0-ll,ssp126,future,2016,1.1171504286220966
ukesm1-0-ll,ssp126,future,2017,1.184117385911236
ukesm1-0-ll,ssp126,future,2018,1.2815899121792427
ukesm1-0-ll,ssp126,future,2019,1.4342579390933565
ukesm1-0-ll,ssp126,future,2020,1.424319319137112
ukesm1-0-ll,ssp126,future,2021,1.4690409277478125
ukesm1-0-ll,ssp126,future,2022,1.611164386428186
ukesm1-0-ll,ssp126,future,2023,1.5610277252726519
ukesm1-0-ll,ssp126,future,2024,1.6160969032750359
ukesm1-0-ll,ssp126,future,2025,1.5587504175780396
ukesm1-0-ll,ssp126,future,2026,1.6713831332504014
ukesm1-0-ll,ssp126,future,2027,1.783062909220007
ukesm1-0-ll,ssp126,future,2028,1.8388953444580238
ukesm1-0-ll,ssp126,future,2029,1.643100659707045
ukesm1-0-ll,ssp126,future,2030,1.6562388827272798
ukesm1-0-ll,ssp126,future,2031,1.7958579873003373
ukesm1-0-ll,ssp126,future,2032,1.761694173407136
ukesm1-0-ll,ssp126,future,2033,1.8719373857608161
ukesm1-0-ll,ssp126,future,2034,2.0659752623304257
ukesm1-0-ll,ssp126,future,2035,1.9454910597879689
ukesm1-0-ll,ssp126,future,2036,2.095269434735087
ukesm1-0-ll,ssp126,future,2037,2.1174762989996907
ukesm1-0-ll,ssp126,future,2038,2.0758227618327965
ukesm1-0-ll,ssp126,future,2039,2.0290992793635496
ukesm1-0-ll,ssp126,future,2040,2.0292806316782617
ukesm1-0-ll,ssp126,future,2041,2.073327905335475
ukesm1-0-ll,ssp126,future,2042,2.171763543077361
ukesm1-0-ll,ssp126,future,2043,2.2707567641485866
ukesm1-0-ll,ssp126,future,2044,2.2778251910298764
ukesm1-0-ll,ssp126,future,2045,2.3618744111961973
ukesm1-0-ll,ssp126,future,2046,2.3883154072202046
ukesm1-0-ll,ssp126,future,2047,2.2960049000244567
ukesm1-0-ll,ssp126,future,2048,2.165704329196217
ukesm1-0-ll,ssp126,future,2049,2.181329494276042
ukesm1-0-ll,ssp126,future,2050,2.3603473075163492
ukesm1-0-ll,ssp126,future,2051,2.349771971585426
ukesm1-0-ll,ssp126,future,2052,2.418343511147725
ukesm1-0-ll,ssp126,future,2053,2.4791685466020112
ukesm1-0-ll,ssp126,future,2054,2.3335522761863103
ukesm1-0-ll,ssp126,future,2055,2.452367888262188
ukesm1-0-ll,ssp126,future,2056,2.4931040320002467
ukesm1-0-ll,ssp126,future,2057,2.463770810106098
ukesm1-0-ll,ssp126,future,2058,2.582825110810745
ukesm1-0-ll,ssp126,future,2059,2.787255328354604
ukesm1-0-ll,ssp126,future,2060,2.5636982993150355
ukesm1-0-ll,ssp126,future,2061,2.4346342723590055
ukesm1-0-ll,ssp126,future,2062,2.40924504262631
ukesm1-0-ll,ssp126,future,2063,2.556683754521657
ukesm1-0-ll,ssp126,future,2064,2.4901229677730043
ukesm1-0-ll,ssp126,future,2065,2.2035386181667604
ukesm1-0-ll,ssp126,future,2066,2.4697728164400132
ukesm1-0-ll,ssp126,future,2067,2.674992826184905
ukesm1-0-ll,ssp126,future,2068,2.5732963167125718
ukesm1-0-ll,ssp126,future,2069,2.6287646044604003
ukesm1-0-ll,ssp126,future,2070,2.7381939471357555
ukesm1-0-ll,ssp126,future,2071,2.644955110144906
ukesm1-0-ll,ssp126,future,2072,2.554523344763652
ukesm1-0-ll,ssp126,future,2073,2.558481894335671
ukesm1-0-ll,ssp126,future,2074,2.753771544862218
ukesm1-0-ll,ssp126,future,2075,2.7111835650770786
ukesm1-0-ll,ssp126,future,2076,2.578366325927675
ukesm1-0-ll,ssp126,future,2077,2.5850789863039836
ukesm1-0-ll,ssp126,future,2078,2.6595754833753062
ukesm1-0-ll,ssp126,future,2079,2.7745351318934013
ukesm1-0-ll,ssp126,future,2080,2.6973626286588797
ukesm1-0-ll,ssp126,future,2081,2.837428993223
ukesm1-0-ll,ssp126,future,2082,2.9096897497769874
ukesm1-0-ll,ssp126,future,2083,2.78548157388002
ukesm1-0-ll,ssp126,future,2084,2.645629547233682
ukesm1-0-ll,ssp126,future,2085,2.710358234552814
ukesm1-0-ll,ssp126,future,2086,2.7509216168568855
ukesm1-0-ll,ssp126,future,2087,2.620844090813648
ukesm1-0-ll,ssp126,future,2088,2.5010523983195867
ukesm1-0-ll,ssp126,future,2089,2.684534498027176
